,x,y,z,radii,Pseudomonas,Stenotrophomonas,Unclassified Xanthomonadaceae,Staphylococcus,Cloacibacterium,Unclassified Comamonadaceae,Bacteroides,Unclassified Pseudomonadaceae,Acinetobacter,Bacillus,Corynebacterium,Hylemonella,Unclassified Streptophyta,Enterococcus,Faecalibacterium,Unclassified Ruminococcaceae,Dechloromonas,Unclassified S24-7,Unclassified Clostridiales,Unclassified Enterobacteriaceae,Erwinia,Enhydrobacter,Parabacteroides,Comamonas,Clostridium,Akkermansia,Prevotella,Micrococcus,Ruminococcus,Unclassified Microbacteriaceae,Diaphorobacter,Unclassified Halomonadaceae,Paraprevotella,Thermicanus,Dorea,Halomonas,Unclassified Lachnospiraceae,Bradyrhizobium,Bifidobacterium,Unclassified Gemellales,Sutterella,Desulfovibrio,Unclassified ML615J-28
1A1,225.142749,-231.393354,288.252911,20,0.83628692,0.000843882,0.000843882,0,0.063291139,0.056540084,0,0,0.021097046,0,0,0.007594937,0,0,0,0,0.005063291,0,0,0,0,0.003375527,0,0.003375527,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0
1A3,256.078154,-184.656455,288.252911,20,0.988185654,0.000843882,0,0,0.001687764,0,0,0.003375527,0.000843882,0,0.000843882,0,0,0.001687764,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0
1A5,207.844694,-217.593513,288.252911,20,0.992405063,0.000843882,0.000843882,0,0.000843882,0,0,0.004219409,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1A6,222.033574,-198.27594,288.252911,20,0.996624473,0,0,0,0,0,0,0.002531646,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1A7,224.016075,-175.498293,288.252911,20,0.972151899,0.005907173,0,0.000843882,0.001687764,0.000843882,0,0.000843882,0.002531646,0,0,0.005063291,0.008438819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0.000843882,0,0,0,0,0,0,0
1A8,218.915806,-151.903833,288.252911,20,0.994936709,0,0.000843882,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003375527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1A9,267.076119,-216.726311,242.203028,20,0.991561181,0,0.001687764,0,0,0.000843882,0,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0.001687764,0,0.000843882,0,0,0,0,0
1A10,277.558476,-182.629457,242.203028,20,0.996624473,0.000843882,0,0,0,0,0,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1A11,269.002239,-157.084785,242.203028,20,0.980590717,0.000843882,0.000843882,0,0.0092827,0.002531646,0,0.001687764,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0.001687764,0.000843882,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0
1A12,237.190022,-240.27754,242.203028,20,0.993248945,0.000843882,0,0,0,0.000843882,0,0.003375527,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0
1B2,248.017229,-179.99486,242.203028,20,0.980590717,0,0,0,0.005063291,0.008438819,0,0.000843882,0.005063291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B3,233.971954,-133.69261,242.203028,20,0.994936709,0,0,0,0,0,0,0.004219409,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B4,202.687324,-245.741418,242.203028,20,0.996624473,0.000843882,0,0,0,0.000843882,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0
1B5,216.121279,-210.125086,242.203028,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
