,x,y,z,radii,Neisseria,Haemophilus,Yersinia,Stenotrophomonas,Acinetobacter,Streptococcus,Bacteroides,Unclassified Enterobacteriaceae,Enterobacter,Unclassified Pseudomonadaceae,Achromobacter,Pseudomonas,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidimonas,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__Methylobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Salmonella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Rahnella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20;g__,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Cloacibacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__
B1,213.731266,-194.095596,235,20,0.007460429,0.008367779,0.000100817,0.00030245,0.00030245,0.010081661,0.00030245,0.000201633,0.00030245,0.000201633,0.000504083,0.957959472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000504083,0,0.000100817,0,0.000100817,0,0.000100817,0,0.000100817,0,0.001008166,0,0,0,0,0,0.000504083,0.000806533,0.000705716,0.002016332,0.000100817,0.0006049,0,0,0,0.002419599,0.000100817,0,0.004738381,0
B2,242.364041,-182.860454,235,20,0,0,0.000100817,0.000100817,0.000100817,0.000201633,0.000100817,0.000201633,0.000201633,0.000403266,0.00030245,0.997479585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0.000100817,0.000100817,0.00030245,0,0.000100817,0,0,0
B3,264.965247,-151.467169,235,20,0,0,0.000100817,0.000100817,0,0.000100817,0.000201633,0,0.000201633,0.000504083,0,0.998286118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0.000100817,0
B4,253.299196,-115.24419,235,20,0,0,0,0,0,0,0.000100817,0.00030245,0.000100817,0.000403266,0,0.998689384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0,0
B6,194.358811,-178.234862,235,20,0,0,0.000201633,0.000403266,0.000201633,0,0.00030245,0.0006049,0.000201633,0.000705716,0,0.995866519,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0,0.000100817,0,0,0,0,0.000100817,0,0.00030245,0,0,0,0,0,0.00030245,0,0,0,0,0,0.000100817,0,0,0,0,0.00030245,0.000100817,0,0
B7,204.30965,-160.125316,235,20,0,0,0.000201633,0.000100817,0,0,0.000201633,0.000403266,0.000403266,0.000705716,0.000201633,0.997177135,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0.00030245,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0
B8,213.62754,-137.286172,235,20,0,0.000100817,0,0.000100817,0.000100817,0,0.00030245,0.000100817,0.000201633,0.000504083,0.000100817,0.997983668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0.000100817,0.000100817,0,0,0.000100817,0,0
B9,197.057353,-117.099944,235,20,0,0,0,0.00030245,0.000100817,0,0,0.000100817,0.000504083,0.0006049,0,0.997580401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0.000201633,0,0,0.000100817,0.000100817,0.000100817,0,0
C1,192.224624,-213.176757,207,20,0,0,0,0,0,0.000201633,0.000201633,0,0.000100817,0.00030245,0.0006049,0.997782034,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0.000100817,0.000100817,0.000201633,0,0,0,0,0.000100817,0,0
C2,235.136487,-197.264382,207,20,0,0,0.000100817,0.000403266,0,0,0.000201633,0.000100817,0.000100817,0.000403266,0,0.997882851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0.000100817,0.000100817,0.000100817,0,0.000100817,0,0.00030245,0,0,0
C3,259.051051,-166.03772,207,20,0,0,0,0.000100817,0,0,0.000100817,0.00030245,0.00030245,0.000403266,0.000201633,0.998286118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0.000100817,0,0,0
C4,256.361653,-120.65386,207,20,0,0,0.000201633,0,0.000100817,0.000100817,0.000100817,0.000100817,0.000201633,0.000100817,0.000100817,0.998386934,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030245,0,0.000100817,0,0,0,0,0.000100817,0,0
C5,226.419376,-112.017938,207,20,0,0,0.000100817,0,0,0,0.000100817,0.000100817,0.000100817,0.0006049,0.000403266,0.997882851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0.00030245,0,0
C6,199.412275,-192.605602,207,20,0,0.00030245,0.00030245,0.000201633,0.000201633,0.00030245,0.000201633,0.0006049,0.00030245,0.000504083,0.000201633,0.996269785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030245,0,0,0,0,0,0.000100817,0,0
